aX,aY,aZ,gX,gY,gZ
0.295,-0.650,1.379,86.975,47.058,35.278
0.228,-0.192,1.190,12.329,0.366,8.057
0.201,0.016,0.986,-12.390,-5.981,-13.672
0.413,-0.091,0.952,-8.179,-5.188,-36.682
0.420,-0.167,0.905,2.502,-19.470,-47.180
0.461,-0.107,0.921,2.441,-30.334,-40.649
0.540,-0.071,0.940,-5.005,-27.344,-33.752
0.565,-0.146,0.886,-19.775,-17.090,-29.297
0.444,-0.215,0.886,-31.982,-14.160,-25.024
0.405,-0.175,0.868,-31.921,-19.592,-25.330
0.414,-0.134,0.875,-20.935,-20.691,-24.109
0.401,-0.141,0.869,-7.996,-17.822,-19.897
0.427,-0.110,0.886,2.869,-19.714,-19.714
0.407,-0.087,0.909,8.484,-22.827,-16.968
0.323,-0.096,0.964,12.634,-26.001,-9.460
0.383,-0.118,0.993,14.832,-32.410,-6.226
0.380,-0.153,0.975,15.198,-41.382,-4.395
0.308,-0.172,0.937,16.785,-50.171,-1.282
0.039,-0.328,1.444,-3.479,-34.119,2.258
0.155,-0.312,0.294,-130.859,80.688,31.372
0.342,-0.084,0.653,-12.085,-31.616,-2.075
0.320,-0.086,0.983,64.331,-74.585,-16.113
0.282,-0.286,1.078,71.777,-54.993,-10.803
0.236,-0.256,1.023,37.170,-38.574,-7.751
0.321,-0.180,0.952,13.123,-24.170,-9.338
0.409,-0.183,0.999,10.498,-15.137,-9.399
0.383,-0.187,1.021,12.573,-16.541,-4.578
0.295,-0.194,1.016,12.512,-21.912,2.625
0.249,-0.209,0.997,10.986,-25.757,8.606
0.180,-0.217,0.942,6.042,-23.743,9.583
0.145,-0.145,0.838,-0.549,-6.592,14.099
0.190,-0.272,0.781,-4.150,24.292,24.109
0.357,-0.181,0.837,-3.418,34.729,14.526
0.429,-0.168,0.885,1.526,30.884,9.277
0.375,-0.205,0.990,8.850,17.883,9.827
0.339,-0.168,1.044,12.146,7.935,12.024
0.333,-0.125,1.071,9.094,4.395,18.066
0.268,-0.142,1.062,-0.366,6.226,23.376
0.225,-0.042,0.700,-12.817,16.113,23.376
0.248,-0.069,0.760,-4.395,13.672,16.235
0.310,-0.166,0.840,5.676,14.709,6.042
0.341,-0.187,0.870,3.296,17.761,-1.038
0.415,-0.163,0.860,-2.136,18.127,-4.578
0.405,-0.215,0.942,-2.075,15.747,-5.554
0.393,-0.196,0.980,-0.244,13.306,-5.310
0.331,-0.185,0.993,2.869,6.165,-8.362
0.330,-0.149,0.972,6.653,-3.845,-16.479
0.315,-0.097,0.906,4.639,-11.658,-23.865
0.277,-0.074,0.853,1.892,-15.747,-25.696
0.240,-0.134,0.834,1.038,-11.536,-22.400
0.258,-0.167,0.812,-0.427,-4.028,-21.912
0.327,-0.148,0.774,-1.221,4.700,-22.522
0.416,-0.153,0.769,-0.183,9.399,-23.010
0.450,-0.225,0.807,-0.061,9.399,-25.452
0.409,-0.174,0.877,-2.930,7.446,-24.841
0.296,-0.162,0.955,-2.930,2.686,-23.621
0.311,-0.174,0.974,-2.319,-11.047,-28.809
0.297,-0.129,0.979,-1.465,-30.884,-32.288
0.235,-0.058,0.908,-3.906,-47.607,-29.724
0.147,-0.082,0.847,-6.348,-52.795,-22.583
0.136,-0.137,0.835,-6.470,-45.898,-15.686
0.232,-0.113,0.812,-5.371,-36.316,-12.695
0.401,-0.090,0.776,-6.897,-26.245,-13.428
0.457,-0.172,0.787,-14.648,-12.695,-18.433
0.456,-0.236,0.804,-21.667,4.150,-26.001
0.416,-0.328,0.879,-17.029,26.855,-29.114
0.448,-0.313,0.984,-6.042,45.471,-36.255
0.422,-0.251,1.012,2.075,50.415,-44.739
0.376,-0.166,0.971,7.690,47.119,-50.720
0.224,-0.144,0.882,10.315,44.922,-49.622
0.198,-0.138,0.839,9.521,53.101,-45.410
0.138,-0.126,0.845,5.798,60.974,-40.833
0.154,-0.118,0.805,1.343,69.214,-36.438
0.221,-0.169,0.838,-3.296,75.928,-33.691
0.185,-0.167,0.940,-12.329,79.041,-32.410
0.069,-0.116,0.850,-23.682,86.182,-30.945
0.078,-0.122,0.811,-21.606,86.304,-30.518
0.090,-0.066,0.875,-14.648,80.688,-25.452
0.187,-0.049,0.930,-10.132,73.792,-14.954
0.240,-0.139,0.956,-12.695,58.472,-7.385
0.233,-0.119,0.920,-24.536,33.142,-13.000
0.287,-0.081,0.912,-32.288,13.428,-20.142
0.091,-0.119,0.875,-34.424,5.127,-19.592
0.232,-0.077,0.807,-34.241,18.860,-16.418
0.361,-0.160,0.833,-30.090,41.748,-10.376
0.440,-0.183,0.923,-25.085,37.903,-7.935
0.399,-0.151,0.944,-19.409,29.602,-9.583
0.328,-0.175,1.010,-9.155,32.166,-12.024
0.443,-0.175,1.017,-1.282,30.823,-10.803
0.389,-0.185,1.033,4.517,22.278,-7.080
0.423,-0.140,1.034,8.606,7.446,-6.287
0.399,-0.151,0.990,10.315,-6.226,-5.066
0.434,-0.121,0.911,8.179,-16.052,-5.127
0.505,-0.130,0.903,5.615,-17.456,-4.578
0.505,-0.157,0.860,1.831,-18.982,-2.136
0.500,-0.175,0.875,1.038,-18.738,-1.160
0.498,-0.197,0.901,4.150,-17.151,-1.282
0.496,-0.211,0.912,7.751,-17.517,-1.343
0.522,-0.178,0.896,8.911,-18.677,-1.770
0.557,-0.209,0.876,7.019,-21.057,-1.526
0.526,-0.234,0.909,2.502,-27.039,-2.441
0.499,-0.194,0.947,-0.488,-32.959,-6.104
0.531,-0.203,0.945,-1.587,-32.715,-9.094
0.544,-0.165,0.915,-1.526,-35.217,-10.559
0.492,-0.136,0.866,-0.854,-39.917,-9.216
0.547,-0.199,0.887,-1.404,-43.762,-6.775
0.517,-0.221,0.914,-3.723,-55.481,-7.935
0.527,-0.189,0.901,-4.944,-69.641,-11.414
0.495,-0.191,0.888,-2.014,-79.956,-11.963
0.373,-0.122,0.839,4.333,-88.074,-6.958
0.344,-0.102,0.802,10.620,-88.867,-1.526
0.323,-0.123,0.832,12.146,-88.440,1.709
0.205,-0.075,0.751,8.118,-90.454,1.831
0.233,-0.127,0.766,5.249,-78.735,5.493
0.152,-0.091,0.672,2.319,-64.026,11.169
0.216,-0.108,0.739,1.709,-37.842,19.165
0.177,-0.124,0.780,-2.930,-21.790,26.489
0.086,-0.113,0.823,-9.888,-13.428,29.907
0.084,-0.112,0.867,-12.756,-7.385,30.396
0.140,0.369,2.281,-120.728,-61.768,141.357
0.224,0.362,2.382,-99.304,-49.744,133.667
0.268,0.342,2.467,-82.458,-30.579,126.648
0.317,0.314,2.560,-66.711,-6.714,121.704
0.322,0.251,2.655,-49.683,17.639,117.432
0.336,0.198,2.760,-32.471,38.391,114.868
0.390,0.160,2.809,-14.221,51.392,113.708
0.447,0.163,2.798,1.770,52.490,111.572
0.493,0.173,2.744,13.794,44.800,107.300
0.521,0.159,2.667,21.301,36.560,102.783
0.537,0.131,2.580,26.001,33.936,99.304
0.564,0.115,2.492,30.273,37.048,96.802
0.548,0.093,2.396,35.217,42.908,95.764
0.524,0.089,2.317,40.588,51.025,95.520
0.514,0.075,2.236,45.715,58.167,93.567
0.495,0.093,2.153,51.086,62.378,90.271
0.501,0.145,2.094,57.373,65.979,86.670
0.531,0.186,2.052,61.584,72.510,84.412
0.565,0.214,2.036,62.134,81.848,83.069
0.586,0.218,2.028,61.829,91.309,81.787
0.608,0.237,2.009,63.232,98.083,79.651
0.625,0.275,1.984,66.284,101.318,75.928
0.661,0.302,1.951,70.557,103.821,70.313
0.708,0.307,1.886,74.951,106.567,62.744
0.761,0.328,1.787,81.421,108.398,52.612
0.769,0.353,1.719,90.088,111.267,41.260
0.858,0.408,1.582,97.290,116.638,28.687
0.907,0.443,1.449,106.262,121.338,17.334
0.907,0.457,1.312,116.089,125.183,5.798
0.906,0.506,1.178,125.427,126.221,-4.211
0.858,0.550,1.027,134.338,123.291,-16.052
0.788,0.631,0.881,141.296,118.347,-28.076
0.711,0.677,0.725,145.081,112.854,-40.466
0.614,0.726,0.551,144.531,106.140,-51.208
0.490,0.765,0.356,143.188,100.830,-60.547
0.409,0.809,0.196,140.930,99.304,-68.665
0.344,0.839,0.070,136.353,98.999,-73.547
0.247,0.863,-0.060,129.944,95.093,-75.073
0.168,0.883,-0.182,121.643,91.187,-75.745
0.100,0.893,-0.299,112.427,86.914,-74.890
0.066,0.922,-0.376,102.051,84.167,-74.524
0.056,0.965,-0.466,92.896,78.552,-71.045
0.048,1.006,-0.557,83.252,72.388,-65.918
0.031,1.031,-0.627,72.449,67.871,-59.875
0.042,1.067,-0.666,60.974,65.308,-54.321
0.037,1.102,-0.704,50.720,59.814,-49.805
0.037,1.149,-0.754,41.748,51.208,-47.546
0.048,1.203,-0.810,32.898,41.321,-47.241
0.064,1.260,-0.877,24.048,31.189,-47.852
0.082,1.288,-0.938,11.902,23.376,-48.767
0.075,1.279,-0.981,-4.272,20.264,-49.072
0.087,1.239,-0.978,-23.621,22.095,-47.363
0.106,1.173,-0.935,-43.518,24.292,-44.189
0.118,1.126,-0.884,-63.171,24.292,-39.734
0.152,1.025,-0.831,-82.336,21.851,-36.804
0.194,0.948,-0.777,-101.868,12.085,-34.424
0.227,0.872,-0.726,-122.070,-5.554,-33.875
0.256,0.811,-0.686,-143.921,-30.090,-38.025
0.279,0.755,-0.659,-168.640,-57.983,-47.119
0.291,0.667,-0.616,-196.655,-84.473,-58.044
0.271,0.594,-0.513,-226.318,-108.826,-70.740
0.181,0.558,-0.320,-253.723,-129.639,-85.449
0.128,0.466,-0.037,-275.574,-139.282,-102.478
0.063,0.422,0.271,-292.175,-144.287,-119.324
-0.069,0.416,0.725,-303.406,-149.353,-133.240
-0.238,0.358,1.262,-307.861,-152.527,-143.860
-0.427,0.353,1.723,-305.481,-153.564,-148.499
-0.606,0.381,2.150,-292.847,-151.733,-148.865
-0.769,0.416,2.557,-269.653,-144.836,-147.095
-0.922,0.454,2.937,-243.408,-133.118,-143.799
-1.080,0.454,3.204,-217.651,-119.263,-140.625
-1.230,0.396,3.364,-191.711,-104.126,-136.108
-1.316,0.312,3.449,-166.931,-87.891,-126.709
-1.337,0.217,3.448,-141.663,-72.937,-110.657
-1.278,0.145,3.405,-116.760,-59.875,-88.562
-1.231,0.041,3.330,-91.431,-52.673,-63.354
-0.979,-0.018,3.277,-67.383,-48.279,-41.870
-0.792,-0.128,3.180,-45.654,-53.589,-25.024
-0.666,-0.180,3.044,-24.475,-69.641,-14.648
-0.483,-0.211,2.892,-3.784,-82.581,-12.939
-0.304,-0.217,2.682,14.221,-88.318,-12.390
-0.181,-0.196,2.442,28.931,-83.679,-6.592
-0.052,-0.177,2.214,41.260,-61.951,2.808
0.054,-0.172,2.045,51.025,-30.701,12.024
0.112,-0.160,1.942,61.096,-5.493,15.320
0.130,-0.138,1.865,71.594,8.850,12.024
0.133,-0.110,1.790,81.238,13.794,5.981
0.122,-0.062,1.705,90.454,12.878,0.977
0.102,-0.011,1.620,99.243,10.742,-0.671
0.097,0.031,1.531,106.140,10.193,0.671
0.096,0.082,1.440,110.229,11.353,3.662
0.109,0.109,1.374,111.694,13.306,7.202
0.093,0.106,1.328,110.168,14.709,8.728
0.073,0.105,1.285,106.873,14.893,9.399
0.058,0.112,1.244,105.347,13.306,10.681
0.059,0.112,1.203,105.713,11.108,13.000
0.072,0.106,1.161,106.873,10.254,15.442
0.078,0.089,1.127,107.666,11.475,16.724
0.093,0.069,1.091,107.422,13.672,18.127
0.101,0.028,1.057,106.628,16.357,18.738
0.107,-0.003,1.021,105.774,18.921,19.409
0.104,-0.027,0.991,105.896,21.179,19.714
0.130,-0.045,0.933,105.835,23.926,20.142
0.115,-0.079,0.927,105.164,26.978,21.729
0.125,-0.094,0.860,101.563,30.090,21.790
0.151,-0.144,0.823,98.633,31.311,19.775
0.153,-0.173,0.825,97.534,31.250,19.409
