aX,aY,aZ,gX,gY,gZ
0.473,0.076,2.098,23.071,6.470,-4.333
0.480,-0.016,2.155,32.654,5.127,-7.568
0.530,-0.082,2.237,41.199,11.047,-15.320
0.552,-0.025,2.381,49.011,20.447,-26.062
0.555,-0.020,2.505,58.228,31.494,-38.025
0.602,-0.094,2.562,71.289,42.969,-46.753
0.583,-0.154,2.570,84.900,45.288,-53.162
0.637,-0.210,2.607,97.412,45.715,-62.500
0.622,-0.249,2.620,103.455,33.447,-74.097
0.586,-0.276,2.541,100.891,14.038,-85.083
0.559,-0.280,2.402,92.773,-3.540,-96.313
0.488,-0.238,2.244,83.862,-20.081,-106.812
0.436,-0.164,2.054,74.646,-32.288,-117.981
0.370,-0.052,1.869,66.101,-42.297,-129.028
0.291,0.055,1.695,57.495,-50.110,-139.648
0.220,0.214,1.493,47.119,-53.467,-147.888
0.193,0.326,1.188,34.546,-51.453,-149.719
0.169,0.456,0.925,22.095,-54.199,-145.935
0.101,0.500,0.671,15.076,-60.364,-140.686
0.063,0.425,0.449,20.203,-62.195,-134.521
-0.024,0.323,0.237,34.546,-67.566,-130.493
-0.074,0.180,0.105,53.406,-76.599,-131.287
-0.145,0.091,0.064,73.425,-80.139,-137.451
-0.139,0.064,0.083,90.820,-74.890,-147.522
-0.156,0.099,0.135,103.760,-67.749,-157.288
-0.117,0.187,0.176,108.948,-56.213,-163.086
-0.110,0.323,0.220,98.511,-43.884,-162.781
-0.119,0.494,0.177,69.397,-41.321,-154.785
-0.109,0.685,0.125,34.363,-42.969,-139.771
-0.140,0.834,0.079,6.042,-42.419,-124.451
-0.208,0.888,-0.026,-5.066,-37.048,-113.037
-0.327,0.889,-0.156,7.080,-23.865,-106.567
-0.406,0.826,-0.290,37.720,0.793,-108.398
-0.473,0.768,-0.319,75.500,30.457,-116.821
-0.424,0.714,-0.230,108.398,63.782,-128.174
-0.336,0.745,-0.063,123.779,71.411,-136.414
-0.295,0.855,0.215,119.080,38.452,-136.230
-0.323,1.022,0.377,94.299,-4.761,-124.817
-0.400,1.183,0.408,51.514,-39.429,-104.370
-0.488,1.376,0.311,3.540,-60.120,-81.055
-0.619,1.553,0.140,-34.241,-65.491,-55.969
-0.777,1.647,-0.065,-49.377,-57.007,-28.137
-0.869,1.555,-0.257,-42.236,-35.400,-0.671
-0.896,1.335,-0.307,-26.611,-10.864,21.118
-0.843,1.067,-0.230,-10.803,2.136,36.987
-0.762,0.825,-0.075,-0.610,-5.737,48.462
-0.737,0.664,0.123,2.441,-24.658,58.716
-0.685,0.549,0.276,-3.662,-31.677,66.406
-0.648,0.523,0.371,-15.625,-33.813,72.327
-0.611,0.539,0.416,-28.992,-36.926,78.186
-0.608,0.558,0.404,-40.344,-40.771,85.693
-0.636,0.544,0.361,-49.438,-41.260,95.276
-0.683,0.507,0.304,-55.054,-36.804,105.164
-0.716,0.451,0.267,-55.054,-26.794,112.488
-0.715,0.403,0.267,-48.523,-12.451,115.723
-0.697,0.345,0.339,-35.583,2.380,116.699
-0.639,0.305,0.445,-19.104,15.869,116.699
-0.570,0.271,0.592,-4.883,26.672,116.028
-0.493,0.242,0.759,5.066,33.142,116.089
-0.417,0.209,0.902,10.925,34.973,118.469
-0.355,0.156,0.991,12.329,33.020,123.169
-0.316,0.083,1.032,9.277,30.457,129.028
-0.293,0.005,1.045,2.686,28.381,134.338
-0.279,-0.046,1.026,-5.859,27.405,137.939
-0.268,-0.089,1.007,-13.245,27.649,139.648
-0.242,-0.126,1.001,-18.311,27.893,140.381
-0.228,-0.137,0.955,-19.958,24.841,140.320
-0.205,-0.132,0.938,-16.235,22.766,138.184
-0.176,-0.128,0.967,-9.155,23.254,135.498
-0.113,-0.148,1.029,-1.404,25.269,132.812
-0.031,-0.189,1.137,5.066,25.940,130.981
0.015,-0.239,1.198,6.897,21.729,129.761
0.069,-0.273,1.253,4.517,15.137,128.174
0.103,-0.297,1.272,-3.296,6.287,127.197
0.119,-0.319,1.239,-15.808,-5.432,126.770
0.089,-0.329,1.127,-31.372,-18.738,127.258
0.035,-0.326,0.962,-46.326,-30.212,127.319
-0.006,-0.318,0.849,-55.359,-34.851,125.244
-0.026,-0.303,0.799,-57.434,-33.325,120.789
-0.031,-0.268,0.772,-54.199,-28.625,115.051
-0.015,-0.237,0.763,-47.729,-23.132,108.398
0.016,-0.218,0.786,-41.138,-18.005,102.234
0.068,-0.219,0.846,-37.415,-13.184,96.436
0.095,-0.217,0.900,-36.560,-11.719,90.515
0.101,-0.203,0.894,-35.522,-10.864,84.229
0.103,-0.185,0.880,-30.884,-8.728,76.294
0.094,-0.172,0.893,-23.804,-7.324,67.322
0.094,-0.167,0.898,-17.578,-6.287,59.448
0.099,-0.153,0.917,-14.038,-7.141,54.077
0.099,-0.134,0.940,-15.259,-10.071,50.781
0.103,-0.106,0.925,-22.217,-12.024,49.255
0.099,-0.088,0.908,-31.860,-12.451,49.133
0.095,-0.084,0.883,-40.588,-10.315,48.889
0.098,-0.056,0.875,-46.448,-4.517,47.119
0.142,-0.050,0.902,-45.959,1.526,43.335
0.103,-0.022,0.977,-39.734,1.160,37.292
0.125,-0.032,1.082,-26.367,4.700,28.870
0.137,-0.035,1.197,-11.658,8.911,19.653
0.156,-0.015,1.314,-0.977,12.207,11.780
0.176,-0.002,1.395,2.991,14.526,6.470
0.178,0.030,1.408,-0.305,15.442,4.700
0.172,0.065,1.390,-8.362,14.099,6.409
0.157,0.074,1.361,-18.982,10.864,9.644
0.127,0.069,1.336,-29.236,7.507,12.817
0.088,0.060,1.327,-35.095,6.042,14.465
0.066,0.050,1.335,-35.889,6.348,13.550
0.057,0.052,1.337,-33.447,7.263,11.108
0.034,0.064,1.347,-28.442,7.935,7.874
